-119.337,34.15000104,NaN,NaN,4.6,0
-119.2894581,34.12835728,NaN,NaN,0,0
-119.2419398,34.10669404,NaN,NaN,0,0
-119.1944449,34.08501138,NaN,NaN,0,0
-119.1469736,34.06330932,NaN,NaN,0,0
-119.0995258,34.04158792,NaN,NaN,0.6,0
-119.0521015,34.01984723,NaN,NaN,1.1,0
-119.0047008,33.99808727,NaN,NaN,1.05,0
-118.9573235,33.97630811,NaN,NaN,1.15,0
-118.9099699,33.95450977,NaN,NaN,1.45,0
-118.8626394,33.93269232,NaN,NaN,1.9,0
-118.8153329,33.91085578,NaN,NaN,2.1,0
-118.7680498,33.8890002,NaN,NaN,1.8,0
-118.7207904,33.86712563,NaN,NaN,1.35,0
-118.6735545,33.84523211,NaN,NaN,1.1,0
-118.6263422,33.82331969,NaN,NaN,1.1,0
-118.5791535,33.80138841,NaN,NaN,1.15,0
-118.5319883,33.77943831,NaN,NaN,1.2,0
-118.4848467,33.75746943,NaN,NaN,1.4,0
-118.4377287,33.73548183,NaN,NaN,1.6,0
-118.3906343,33.71347555,NaN,NaN,1.7,0
-118.3435635,33.69145062,NaN,NaN,1.5,0
-118.2965163,33.6694071,NaN,NaN,1.3,0
-118.2494923,33.64734503,NaN,NaN,1.9,0.4
-118.2024923,33.62526445,NaN,NaN,2.4,0.5
-118.1555159,33.6031654,NaN,NaN,2.9,0.7
-118.1085631,33.58104793,NaN,NaN,3.45,1.25
-118.0616339,33.55891209,NaN,NaN,3.6,1.4
-118.0147283,33.53675791,NaN,NaN,2.8,0
-117.9678464,33.51458545,NaN,NaN,2.3,0
-117.920988,33.49239475,NaN,NaN,1.75,0
-117.8741533,33.47018584,NaN,NaN,1.4,0
-117.8273422,33.44795878,NaN,NaN,1.2,0
-117.7805547,33.42571361,NaN,NaN,1.1,0
-117.7337909,33.40345037,NaN,NaN,1.15,0
-117.6870507,33.38116911,NaN,NaN,1.35,0
-117.6403341,33.35886987,NaN,NaN,1.5,0
-117.5936411,33.3365527,NaN,NaN,1.5,0
-117.5469718,33.31421764,NaN,NaN,1.45,0
