lon,lat,Vs30_Wills,Z2p5,Z1,ln_Amp760
-119.2159,34.1462,228.2,3.6,0.7,2.3207
-119.1684,34.1245,228.2,3.2,0.8,2.4675
-119.1209,34.1028,176.1,2.7,0.9,2.7717
-118.4114,33.7748,386.6,1.4,0.0,-0.0364
-118.3643,33.7528,385.1,1.5,0.0,-0.0375
-118.3172,33.7308,386.6,1.6,0.0,0.2459
-117.5670,33.3757,386.6,1.4,0.0,-0.1261
-117.5203,33.3534,468.4,1.1,0.0,-0.1808
-117.4737,33.3310,468.4,0.0,0.0,-0.1243
-119.2373,34.2074,293.5,4.3,0.8,2.0827
-119.1898,34.1857,228.2,3.7,0.6,2.1246
-119.1423,34.1640,228.2,2.6,0.6,2.2308
-119.0948,34.1423,228.2,2.5,0.7,2.2033
-119.0473,34.1206,385.1,2.2,0.3,0.9383
-118.9998,34.0988,518.9,1.9,0.3,0.6344
-118.9524,34.0770,385.1,2.4,0.3,0.5727
-118.9050,34.0552,385.1,2.2,0.3,0.4895
-118.8102,34.0116,385.1,0.9,0.0,-0.1173
-118.3850,33.8142,386.6,1.8,0.6,1.2608
-118.3379,33.7922,351.9,2.1,0.7,1.7568
-118.2908,33.7701,386.6,2.3,0.8,1.6896
-118.2437,33.7481,225.6,2.5,0.9,2.2961
-117.7274,33.5041,468.4,1.7,0.0,-0.0393
-117.6806,33.4819,351.9,1.9,0.0,0.0417
-117.6339,33.4596,385.1,2.2,0.0,0.0123
-117.5871,33.4372,385.1,3.6,0.0,0.0013
-117.5404,33.4149,385.1,1.4,0.0,-0.0339
-117.4937,33.3926,468.4,0.0,0.0,-0.0695
-117.4470,33.3702,386.6,0.0,0.0,-0.0133
-119.2588,34.2686,293.5,6.1,0.8,2.0616
-119.2112,34.2469,293.5,6.5,0.7,1.8630
-119.1637,34.2252,228.2,3.6,0.6,2.0558
-119.1161,34.2035,228.2,2.5,0.6,2.2425
-119.0686,34.1818,228.2,3.2,0.3,1.7889
-119.0211,34.1600,518.9,2.5,0.1,0.6047
-118.9736,34.1383,385.1,1.8,0.1,0.3499
-118.9262,34.1165,518.9,0.3,0.1,0.2538
-118.8788,34.0947,518.9,0.3,0.1,0.1946
