lon,lat,Vs30_Wills,Z2p5,Z1,ln_Amp760
-117.8839,34.0966,293.5,1.7,0.2,0.3018
-117.8368,34.0744,385.1,0.8,0.2,0.1092
-117.7896,34.0521,293.5,0.3,0.2,0.1312
-117.7425,34.0299,293.5,0.5,0.2,0.1192
-117.6954,34.0076,293.5,1.1,0.2,0.1459
-117.6484,33.9853,293.5,0.6,0.2,0.0277
-117.6013,33.9630,293.5,0.3,0.2,-0.0132
-117.5543,33.9407,386.6,0.3,0.1,-0.1603
-117.5073,33.9183,710.1,0.3,0.1,-0.1337
-117.4604,33.8960,386.6,0.3,0.3,0.2743
-117.4134,33.8736,710.1,0.0,0.0,-0.0853
-117.3665,33.8512,710.1,0.0,0.0,-0.0169
-117.3196,33.8288,386.6,0.0,0.0,0.0080
-117.2727,33.8063,710.1,0.0,0.0,-0.1385
-117.2259,33.7839,386.6,0.0,0.0,-0.2292
-117.1791,33.7614,386.6,0.0,0.0,-0.2749
-118.9967,34.6636,710.1,0.0,0.0,0.2109
-118.9490,34.6418,710.1,0.0,0.0,0.2377
-118.9012,34.6200,710.1,0.3,0.1,0.2839
-118.8535,34.5982,468.4,0.3,0.1,0.2737
-118.8058,34.5764,385.1,0.3,0.1,0.3090
-118.7582,34.5545,385.1,0.3,0.1,0.4302
-118.7105,34.5327,385.1,0.3,0.1,0.4448
-118.6629,34.5108,468.4,0.3,0.3,0.4792
-118.6153,34.4889,293.5,1.8,0.3,0.5334
-118.5678,34.4669,444.0,2.0,0.1,0.3484
-118.5202,34.4450,444.0,2.0,0.1,0.3609
-118.4727,34.4230,293.5,2.0,0.3,0.6157
-118.4252,34.4011,468.4,1.6,0.1,0.2689
-118.3777,34.3791,710.1,0.3,0.1,0.1151
-118.3303,34.3570,710.1,0.3,0.1,0.0821
-118.2829,34.3350,710.1,0.3,0.1,0.0245
-118.2355,34.3130,710.1,0.3,0.1,-0.0113
-118.1881,34.2909,710.1,0.3,0.1,-0.0149
-118.1408,34.2688,710.1,0.0,0.0,-0.0505
