lon,lat,Vs30_Wills,Z2p5,Z1,ln_Amp760
-119.2159,34.1462,228.2,3.6,0.7,2.2326
-119.1684,34.1245,228.2,3.2,0.8,2.3755
-119.1209,34.1028,176.1,2.7,0.9,2.6933
-118.4114,33.7748,386.6,1.4,0.0,-0.1764
-118.3643,33.7528,385.1,1.5,0.0,0.0083
-118.3172,33.7308,386.6,1.6,0.0,0.4099
-117.5670,33.3757,386.6,1.4,0.0,-0.1601
-117.5203,33.3534,468.4,1.1,0.0,-0.2443
-117.4737,33.3310,468.4,0.0,0.0,-0.1694
-119.2373,34.2074,293.5,4.3,0.8,1.9710
-119.1898,34.1857,228.2,3.7,0.6,2.1072
-119.1423,34.1640,228.2,2.6,0.6,2.2483
-119.0948,34.1423,228.2,2.5,0.7,2.2418
-119.0473,34.1206,385.1,2.2,0.3,1.0281
-118.9998,34.0988,518.9,1.9,0.3,0.7105
-118.9524,34.0770,385.1,2.4,0.3,0.6930
-118.9050,34.0552,385.1,2.2,0.3,0.5690
-118.8102,34.0116,385.1,0.9,0.0,-0.0418
-118.3850,33.8142,386.6,1.8,0.6,0.9243
-118.3379,33.7922,351.9,2.1,0.7,1.4858
-118.2908,33.7701,386.6,2.3,0.8,1.4986
-118.2437,33.7481,225.6,2.5,0.9,2.1391
-117.7274,33.5041,468.4,1.7,0.0,-0.1028
-117.6806,33.4819,351.9,1.9,0.0,0.0386
-117.6339,33.4596,385.1,2.2,0.0,-0.0060
-117.5871,33.4372,385.1,3.6,0.0,-0.0198
-117.5404,33.4149,385.1,1.4,0.0,-0.0569
-117.4937,33.3926,468.4,0.0,0.0,-0.1203
-117.4470,33.3702,386.6,0.0,0.0,-0.0023
-119.2588,34.2686,293.5,6.1,0.8,1.9353
-119.2112,34.2469,293.5,6.5,0.7,1.7989
-119.1637,34.2252,228.2,3.6,0.6,2.0915
-119.1161,34.2035,228.2,2.5,0.6,2.3611
-119.0686,34.1818,228.2,3.2,0.3,2.0231
-119.0211,34.1600,518.9,2.5,0.1,0.8093
-118.9736,34.1383,385.1,1.8,0.1,0.6287
-118.9262,34.1165,518.9,0.3,0.1,0.4155
-118.8788,34.0947,518.9,0.3,0.1,0.2947
-118.8314,34.0728,468.4,0.3,0.3,0.3595
-118.7840,34.0510,385.1,0.0,0.0,-0.0317
-118.4058,33.8755,351.9,2.2,0.9,1.5855
-118.3586,33.8535,386.6,2.5,0.9,1.6253
-118.3115,33.8315,386.6,3.0,0.8,1.7302
-118.2644,33.8094,386.6,3.4,0.8,1.5498
-118.2173,33.7874,228.2,3.4,0.7,1.8556
-118.1702,33.7653,386.6,3.7,0.7,1.6457
-118.0761,33.7210,293.5,3.1,0.7,1.9043
-118.0291,33.6989,176.1,3.5,0.6,2.2075
-117.9822,33.6767,228.2,3.9,0.6,1.6517
-117.9352,33.6545,386.6,3.9,0.3,0.7953
-117.8414,33.6101,385.1,2.0,0.0,-0.0608
-117.7945,33.5879,468.4,1.9,0.0,-0.1768
-117.7477,33.5656,468.4,1.9,0.0,-0.1675
-117.7008,33.5434,385.1,2.0,0.0,-0.0644
-117.6540,33.5211,385.1,2.2,0.0,-0.0055
-117.6072,33.4988,385.1,2.5,0.0,0.0396
-117.5605,33.4764,386.6,3.6,0.0,0.0782
-117.5137,33.4541,502.5,1.1,0.0,0.0033
-117.4670,33.4317,351.9,0.0,0.0,0.1703
-117.4203,33.4093,518.9,0.0,0.0,-0.0061
-119.2327,34.3081,385.1,6.0,0.3,1.1199
-119.1851,34.2864,351.9,7.2,0.8,1.7538
-119.1375,34.2647,228.2,2.5,0.4,1.8497
-119.0900,34.2430,386.6,2.2,0.3,1.6949
-119.0424,34.2213,293.5,3.2,0.6,2.0092
-118.9949,34.1995,518.9,3.2,0.3,1.0953
-118.9474,34.1777,386.6,0.3,0.3,0.9358
-118.9000,34.1559,351.9,0.3,0.3,0.9050
-118.8525,34.1341,351.9,0.3,0.3,0.8260
-118.8051,34.1123,518.9,0.3,0.1,0.3157
-118.7577,34.0904,468.4,0.0,0.0,0.1367
-118.7103,34.0685,468.4,0.0,0.0,0.1185
-118.6630,34.0467,468.4,0.0,0.0,0.1019
-118.4266,33.9369,386.6,3.4,0.8,1.6558
-118.3794,33.9149,386.6,3.8,0.8,1.6393
-118.3322,33.8929,386.6,3.9,0.6,1.5325
-118.2851,33.8708,386.6,4.0,0.6,1.5392
-118.2379,33.8488,351.9,4.0,0.6,1.4722
-118.1908,33.8267,386.6,4.3,0.7,1.4382
-118.1437,33.8046,386.6,3.0,0.7,1.5494
-118.0967,33.7825,228.2,3.2,0.7,2.0093
-118.0496,33.7603,228.2,3.5,0.7,2.0254
-118.0026,33.7382,228.2,4.2,0.7,1.8963
-117.9556,33.7160,228.2,4.5,0.6,1.5628
-117.9087,33.6938,293.5,4.2,0.5,1.0455
-117.8617,33.6716,386.6,2.9,0.3,0.5993
-117.8148,33.6494,468.4,2.1,0.0,-0.1376
-117.7679,33.6271,468.4,2.0,0.0,-0.3912
-117.7211,33.6048,385.1,2.1,0.0,-0.2883
-117.6742,33.5826,385.1,2.0,0.0,-0.1966
-117.6274,33.5603,385.1,1.6,0.0,-0.0823
-117.5806,33.5379,468.4,1.2,0.0,-0.0358
-117.5338,33.5156,502.5,0.0,0.0,0.0339
-117.4871,33.4932,502.5,0.0,0.0,0.0976
-117.4403,33.4709,518.9,0.0,0.0,0.1004
-117.3936,33.4485,710.1,0.0,0.0,-0.0727
-119.2066,34.3476,385.1,4.8,0.3,1.0394
-119.1590,34.3259,385.1,6.3,0.7,1.4060
-119.1114,34.3042,293.5,6.3,0.3,1.4490
