5,0.24316,0.35649,0.46664,0.48906,0.50975,0.37975,0.50008,0.60765,0.6294,0.64959,0.5849,0.82816,1.0305,1.0729,1.1091,0.53929,0.91561,1.289,1.3779,1.4511,0.33766,0.71104,1.1898,1.3296,1.4451,0.17256,0.44572,0.85949,1.0003,1.115,0.10942,0.31373,0.65407,0.7794,0.88207,0.036258,0.12623,0.30719,0.38496,0.45056,0.01521,0.065242,0.18763,0.2463,0.29668,0.0082421,0.041076,0.13467,0.18239,0.22385,0.0048329,0.02732,0.099864,0.13885,0.17312
6,0.21649,0.32842,0.44201,0.46814,0.49283,0.34797,0.47114,0.58318,0.60845,0.6324,0.53096,0.77904,0.99191,1.0405,1.083,0.47831,0.84381,1.2243,1.3227,1.4066,0.29537,0.64404,1.113,1.2607,1.3877,0.15044,0.40186,0.80064,0.94527,1.0681,0.095253,0.28215,0.60752,0.73465,0.84321,0.031523,0.11312,0.2838,0.36102,0.42885,0.013197,0.05833,0.17285,0.23032,0.28161,0.0071339,0.036633,0.12375,0.17013,0.21195,0.0041845,0.024373,0.091797,0.12956,0.16397
7,0.19314,0.30292,0.41908,0.44852,0.47686,0.31878,0.44416,0.56037,0.58885,0.61624,0.48185,0.73269,0.95529,1.0097,1.0582,0.42528,0.77852,1.1638,1.2708,1.3644,0.25966,0.58524,1.0432,1.1973,1.3344,0.13189,0.36372,0.74767,0.89506,1.0248,0.083401,0.25481,0.56583,0.694,0.80742,0.027574,0.10186,0.26308,0.33948,0.40903,0.011523,0.052407,0.1598,0.216,0.2679,0.0062142,0.032836,0.11414,0.15917,0.20116,0.0036462,0.021854,0.084694,0.12125,0.15567
8,0.17295,0.28006,0.398,0.43034,0.46195,0.29235,0.41926,0.53927,0.57065,0.60117,0.43792,0.68958,0.92085,0.98067,1.0348,0.37974,0.71995,1.1079,1.2225,1.3249,0.22975,0.53416,0.98066,1.1398,1.2854,0.11644,0.33086,0.70048,0.84973,0.98514,0.073553,0.23134,0.52888,0.65744,0.77481,0.024301,0.092255,0.24488,0.3203,0.39113,0.010139,0.04737,0.14839,0.2033,0.25557,0.0054555,0.029615,0.10575,0.14948,0.19148,0.003202,0.019716,0.078496,0.11391,0.14822
9,0.15558,0.25967,0.3787,0.41356,0.44807,0.26861,0.39636,0.51978,0.5538,0.58715,0.39895,0.64976,0.88859,0.95345,1.0127,0.34078,0.66769,1.0566,1.1777,1.2881,0.20469,0.48988,0.92472,1.0877,1.2406,0.10356,0.30257,0.65858,0.80895,0.94906,0.06536,0.21121,0.4962,0.62468,0.74521,0.021584,0.08406,0.22893,0.30325,0.375,0.0089912,0.043084,0.13842,0.19205,0.2445,0.0048283,0.026881,0.098449,0.14093,0.18281,0.0028346,0.017901,0.073094,0.10742,0.14155
10,0.14062,0.2415,0.36105,0.39808,0.43518,0.24735,0.37534,0.50176,0.53816,0.57408,0.36451,0.61314,0.85838,0.9279,0.99199,0.30741,0.62114,1.0095,1.1363,1.2538,0.1836,0.45143,0.87467,1.0406,1.1996,0.092764,0.27816,0.62133,0.77224,0.9162,0.058505,0.1939,0.46725,0.59529,0.71833,0.019314,0.07704,0.21491,0.28808,0.36046,0.0080347,0.039423,0.12968,0.18207,0.23455,0.0043067,0.024551,0.092065,0.13336,0.17505,0.002529,0.016353,0.068372,0.10167,0.13558
20,0.063765,0.13498,0.24491,0.29195,0.3431,0.12342,0.23538,0.37421,0.42562,0.47818,0.17374,0.37286,0.63784,0.73718,0.83433,0.13848,0.34856,0.69602,0.84889,1.0064,0.081754,0.24352,0.57132,0.74073,0.92641,0.041186,0.14859,0.4005,0.54339,0.70115,0.025885,0.1028,0.2978,0.41427,0.54428,0.0085598,0.040608,0.13484,0.19709,0.26876,0.0035303,0.020574,0.080384,0.12299,0.17268,0.0018693,0.012657,0.056374,0.088994,0.12731,0.0010998,0.0084464,0.041945,0.067976,0.098787
30,0.036986,0.089014,0.18363,0.2314,0.28646,0.073231,0.16271,0.29633,0.35384,0.41453,0.10164,0.25354,0.50148,0.61193,0.72569,0.080551,0.23122,0.52812,0.6821,0.85206,0.048398,0.16199,0.42831,0.58741,0.77531,0.024474,0.09888,0.29942,0.42971,0.58547,0.015364,0.068205,0.22148,0.32578,0.452,0.0051042,0.026985,0.099912,0.15418,0.22192,0.0020973,0.013613,0.059241,0.095661,0.14174,0.0011041,0.0083265,0.041307,0.068819,0.1039,0.00065036,0.0055631,0.03077,0.052628,0.080716
40,0.02431,0.06403,0.14507,0.19078,0.24597,0.048095,0.11913,0.2416,0.30077,0.36543,0.06658,0.18433,0.40677,0.51921,0.64078,0.05324,0.16746,0.42156,0.56898,0.74058,0.032807,0.11927,0.34359,0.49106,0.67458,0.016682,0.073064,0.24047,0.3595,0.50976,0.010467,0.05032,0.17733,0.2716,0.39213,0.0034958,0.019983,0.080025,0.12843,0.19222,0.0014342,0.010062,0.047331,0.07946,0.12241,0.00075297,0.0061376,0.032911,0.057005,0.089477,0.00044389,0.0041042,0.024537,0.043631,0.069571
50,0.017196,0.048528,0.1183,0.16103,0.21468,0.033666,0.090563,0.20043,0.25878,0.32486,0.046717,0.13988,0.33658,0.4463,0.57037,0.037912,0.12784,0.34707,0.48541,0.65363,0.024033,0.093132,0.28672,0.42334,0.60032,0.012295,0.05733,0.20128,0.31071,0.45468,0.0077122,0.039448,0.14813,0.23417,0.34884,0.0025904,0.015737,0.067001,0.11087,0.17109,0.0010624,0.0079208,0.039591,0.068516,0.1088,0.00055718,0.0048261,0.027499,0.049101,0.079446,0.00032869,0.0032293,0.020516,0.037606,0.061813
