5,0.52605,0.84314,1.4157,1.7228,2.1592,0.82108,1.355,2.2348,2.5959,3.0828,1.0803,1.9584,3.3188,3.741,4.2567,0.85981,1.6342,2.7426,2.9739,3.2183,0.45774,1.026,1.9239,2.1198,2.3095,0.25201,0.60566,1.1873,1.3018,1.4084,0.15927,0.40293,0.83261,0.92381,1.0149,0.032672,0.1123,0.29867,0.35399,0.41349,0.012988,0.060062,0.21333,0.28396,0.37396,0.0054632,0.031536,0.13683,0.19604,0.27752,0.0031218,0.021512,0.1109,0.17057,0.25971
6,0.46559,0.75733,1.2905,1.5821,1.9976,0.7298,1.2241,2.051,2.3994,2.8698,0.96221,1.7697,3.0397,3.4451,3.9415,0.76822,1.4818,2.521,2.7476,2.9888,0.40964,0.93219,1.7724,1.9628,2.1494,0.22723,0.55462,1.1027,1.2152,1.3214,0.14379,0.36944,0.77423,0.86329,0.95311,0.029642,0.10351,0.27922,0.33248,0.39017,0.011756,0.05521,0.19879,0.2657,0.35135,0.0049912,0.029283,0.12888,0.18544,0.26365,0.0028581,0.020021,0.10471,0.16172,0.24725
7,0.41507,0.68458,1.1828,1.4602,1.8564,0.65315,1.1124,1.8915,2.2278,2.6824,0.86294,1.6087,2.7985,3.188,3.666,0.69097,1.3514,2.3287,2.5504,2.7877,0.36903,0.85176,1.6407,1.8257,2.0089,0.20615,0.51051,1.0285,1.1389,1.2444,0.13059,0.34045,0.72298,0.80989,0.89832,0.027046,0.09586,0.26205,0.3134,0.36939,0.010703,0.050999,0.18599,0.24956,0.33129,0.0045835,0.027304,0.1218,0.17596,0.25118,0.0026297,0.018707,0.099168,0.15376,0.23601
8,0.37241,0.62231,1.0894,1.3536,1.7323,0.58813,1.0161,1.7522,2.0767,2.5164,0.77862,1.4701,2.5882,2.9626,3.4233,0.62516,1.2388,2.1606,2.377,2.6101,0.3344,0.7822,1.5253,1.705,1.8846,0.18804,0.47206,0.96305,1.0712,1.1757,0.11924,0.31515,0.67765,0.76244,0.8494,0.024803,0.089149,0.24679,0.29636,0.35074,0.0097957,0.047316,0.17465,0.2352,0.31337,0.0042285,0.025554,0.11544,0.16741,0.23988,0.0024303,0.017541,0.094182,0.14657,0.22581
9,0.33606,0.56854,1.0076,1.2598,1.6222,0.53248,0.93258,1.6295,1.9428,2.3683,0.70633,1.3498,2.4035,2.7637,3.208,0.5686,1.1407,2.0124,2.2235,2.4521,0.3046,0.72155,1.4235,1.598,1.774,0.17234,0.43829,0.9048,1.0107,1.114,0.10939,0.2929,0.63727,0.71999,0.80544,0.022849,0.08322,0.23313,0.28104,0.33392,0.0090065,0.04407,0.16454,0.22235,0.29727,0.003917,0.023995,0.10971,0.15967,0.22961,0.0022549,0.016501,0.089668,0.14003,0.21649
10,0.30481,0.52176,0.93565,1.1767,1.5241,0.48445,0.85949,1.5207,1.8234,2.2353,0.64387,1.2446,2.24,2.587,3.0158,0.51961,1.0547,1.8809,2.0868,2.3107,0.27875,0.6683,1.333,1.5026,1.6748,0.15864,0.40843,0.85268,0.95635,1.0584,0.10079,0.2732,0.6011,0.6818,0.76571,0.021134,0.077948,0.22083,0.26721,0.31865,0.0083153,0.041189,0.15546,0.21077,0.28271,0.0036417,0.022598,0.1045,0.15261,0.22021,0.0020996,0.015566,0.08556,0.13406,0.20794
20,0.14013,0.26318,0.5178,0.68211,0.92542,0.22746,0.4469,0.8729,1.0947,1.4035,0.30776,0.65115,1.2758,1.5246,1.8391,0.25332,0.56408,1.0959,1.2558,1.4363,0.1377,0.36295,0.78989,0.91939,1.0582,0.081921,0.23239,0.5302,0.61398,0.70157,0.052388,0.1565,0.3762,0.44016,0.50993,0.01133,0.046151,0.14293,0.17807,0.21863,0.0043949,0.023984,0.098611,0.1372,0.18887,0.0020254,0.013917,0.070412,0.10563,0.15656,0.0011797,0.0096949,0.05833,0.093819,0.14938
30,0.080107,0.16068,0.33763,0.45965,0.64446,0.13142,0.27758,0.5816,0.75295,0.99655,0.1807,0.40764,0.84831,1.0386,1.2836,0.15088,0.3588,0.74074,0.86853,1.0164,0.082984,0.23393,0.54157,0.6449,0.75938,0.050827,0.15446,0.37529,0.44457,0.51965,0.032626,0.10443,0.26728,0.3197,0.37863,0.0072123,0.031524,0.104,0.13228,0.16581,0.0027705,0.016195,0.070754,0.10027,0.14059,0.0013161,0.0097216,0.052425,0.080158,0.1211,0.00077035,0.0068109,0.043693,0.071593,0.11613
40,0.051602,0.10892,0.24086,0.33638,0.48381,0.085066,0.19005,0.42049,0.55796,0.75693,0.11876,0.28157,0.61398,0.76598,0.96463,0.10029,0.25096,0.54312,0.64826,0.77224,0.055762,0.16561,0.40223,0.48751,0.58429,0.034872,0.11178,0.2852,0.34384,0.40904,0.022435,0.075755,0.20357,0.24769,0.2984,0.0050445,0.023288,0.080689,0.10429,0.13284,0.0019235,0.011859,0.054313,0.078076,0.11104,0.00093132,0.0072764,0.041228,0.063978,0.098098,0.00054623,0.0051112,0.034461,0.057285,0.09427
50,0.035847,0.078889,0.18187,0.25935,0.38088,0.059166,0.13839,0.32013,0.43344,0.59997,0.083819,0.20697,0.46888,0.59401,0.75964,0.071457,0.18641,0.41925,0.50774,0.61371,0.040142,0.12441,0.31424,0.3864,0.46984,0.025497,0.085373,0.22669,0.27726,0.33461,0.016424,0.057938,0.16201,0.1999,0.24421,0.0037447,0.018077,0.065195,0.085374,0.11018,0.0014196,0.0091421,0.043511,0.063281,0.091055,0.00069556,0.0056893,0.033566,0.052721,0.081819,0.00040803,0.0039991,0.028081,0.047232,0.078647
60,0.026235,0.059806,0.14283,0.20729,0.30985,0.043246,0.10515,0.25256,0.34783,0.48975,0.062142,0.15881,0.37157,0.47689,0.61783,0.05341,0.14432,0.33534,0.41114,0.50309,0.030304,0.097365,0.25421,0.31643,0.38949,0.019479,0.067672,0.18585,0.23009,0.28108,0.012555,0.045959,0.13291,0.16594,0.20513,0.0028964,0.01452,0.054171,0.07173,0.093608,0.0010928,0.0073015,0.0359,0.052729,0.076623,0.00053918,0.0045845,0.027988,0.044411,0.069631,0.00031596,0.0032203,0.023403,0.039758,0.066864
70,0.019946,0.046881,0.11543,0.17011,0.25818,0.032778,0.082423,0.20452,0.28586,0.40848,0.04776,0.12574,0.30255,0.39269,0.51451,0.041345,0.11518,0.27528,0.34112,0.42188,0.023688,0.078519,0.21097,0.2654,0.33015,0.015367,0.05512,0.15587,0.19502,0.24076,0.0099065,0.037442,0.11148,0.14061,0.17561,0.0023087,0.011959,0.045944,0.061423,0.080931,0.00086756,0.0059846,0.030266,0.044835,0.065711,0.00042951,0.0037766,0.023748,0.038019,0.06014,0.00025118,0.0026485,0.019829,0.033978,0.057637
80,0.015614,0.0377,0.09536,0.14244,0.21911,0.025542,0.06616,0.16896,0.23925,0.34635,0.037731,0.10198,0.2515,0.32969,0.43627,0.032874,0.09408,0.23051,0.28834,0.35997,0.019015,0.064787,0.17854,0.22671,0.28466,0.012425,0.045839,0.13301,0.16797,0.2093,0.0080077,0.031133,0.095109,0.12105,0.15255,0.001883,0.01004,0.039581,0.053366,0.070914,0.00070518,0.0050033,0.025941,0.038718,0.057173,0.00034933,0.0031639,0.020422,0.032951,0.052531,0.00020374,0.0022135,0.017013,0.029376,0.050211
90,0.012506,0.030933,0.080153,0.12117,0.18866,0.020344,0.054112,0.14179,0.20312,0.2975,0.030461,0.084288,0.2125,0.28106,0.37523,0.026697,0.078262,0.19607,0.24733,0.31138,0.015587,0.054431,0.15344,0.19646,0.24875,0.010242,0.038751,0.11507,0.14652,0.18409,0.0065975,0.026306,0.082233,0.10551,0.13404,0.0015639,0.0085563,0.034523,0.046901,0.062797,0.00058395,0.0042488,0.022524,0.033845,0.050316,0.00028882,0.0026861,0.017748,0.028837,0.046294,0.0001679,0.0018737,0.014743,0.02563,0.044107
100,0.010205,0.025798,0.06832,0.10442,0.16435,0.016493,0.044934,0.12051,0.17447,0.25824,0.025028,0.07074,0.18194,0.24258,0.32647,0.022054,0.066074,0.1689,0.21468,0.27234,0.012995,0.046403,0.13351,0.17225,0.21974,0.0085759,0.033195,0.10065,0.12913,0.16347,0.0055201,0.022519,0.071874,0.092896,0.11888,0.0013181,0.0073816,0.030413,0.041602,0.056086,0.00049089,0.0036539,0.019764,0.02988,0.044692,0.00024199,0.0023051,0.015556,0.025435,0.041092,0.00014015,0.0016023,0.012879,0.022527,0.039007
200,0.0023553,0.0069028,0.021194,0.034877,0.05911,0.0034703,0.011125,0.034934,0.054325,0.086368,0.0059929,0.019565,0.057618,0.08112,0.11529,0.005496,0.019087,0.055931,0.074853,0.099981,0.0035374,0.014692,0.048575,0.065959,0.088569,0.0023426,0.010584,0.036972,0.049914,0.066493,0.0014857,0.0070775,0.026012,0.035327,0.047505,0.00037267,0.0024453,0.011613,0.016642,0.023504,0.00013683,0.0011886,0.0073697,0.011612,0.0181,6.1841e-05,0.00069307,0.005398,0.0092128,0.015536,3.4037e-05,0.00045863,0.0042578,0.0077649,0.014018
300,0.00087471,0.0028024,0.009406,0.016184,0.028677,0.0011484,0.0040605,0.014022,0.022765,0.037784,0.0022487,0.0080071,0.025584,0.037221,0.054662,0.0021209,0.0080507,0.025613,0.03536,0.048721,0.0014861,0.0067605,0.024303,0.034035,0.047133,0.00095534,0.0047379,0.018023,0.02509,0.034467,0.00059339,0.0031035,0.012418,0.017376,0.024073,0.00015333,0.0011068,0.0057259,0.0084387,0.012257,5.6037e-05,0.00053426,0.0035963,0.0058091,0.0092836,2.2198e-05,0.00027437,0.0023297,0.0040801,0.0070604,1.1477e-05,0.00017074,0.0017289,0.0032331,0.0059856
400,0.00039808,0.0013596,0.0048647,0.0086419,0.015811,0.00046118,0.0017495,0.0064679,0.01083,0.01854,0.0010223,0.0038741,0.013125,0.01955,0.029395,0.00098653,0.0039918,0.013472,0.019018,0.026795,0.00075154,0.0036497,0.013932,0.019948,0.028244,0.00046237,0.0024517,0.0099146,0.01411,0.019815,0.00028054,0.001569,0.006673,0.0095391,0.013502,7.405e-05,0.00057244,0.003149,0.0047353,0.0070176,2.705e-05,0.00027571,0.0019688,0.0032375,0.0052671,9.2131e-06,0.00012217,0.0011036,0.001969,0.003471,4.4528e-06,7.1118e-05,0.00076643,0.0014594,0.002751
500,0.00020294,0.00072858,0.0027403,0.004991,0.0093621,0.00020633,0.00082686,0.0032242,0.0055305,0.0096988,0.00051727,0.0020581,0.0072984,0.011073,0.016958,0.00050933,0.0021662,0.007656,0.010997,0.015766,0.0004215,0.002154,0.0086177,0.012554,0.018084,0.00024622,0.0013755,0.0058349,0.0084483,0.01207,0.00014573,0.0008588,0.0038306,0.0055683,0.0080144,3.911e-05,0.00031894,0.0018407,0.0028117,0.0042329,1.4313e-05,0.00015369,0.0011492,0.0019163,0.0031615,4.1465e-06,5.8084e-05,0.00055074,0.00099691,0.001783,1.8682e-06,3.154e-05,0.00035684,0.00068913,0.0013175
