5,0.14136,0.33378,0.42463,0.43491,0.44541,0.279,0.65787,0.81738,0.82896,0.84063,0.26456,0.68696,0.84701,0.855,0.86301,0.24504,0.68883,0.8481,0.86826,0.88888,0.14189,0.47207,0.68221,0.72896,0.7789,0.088861,0.32937,0.49093,0.52983,0.57181,0.05549,0.23487,0.39107,0.43623,0.48659,0.012091,0.074804,0.18106,0.22954,0.291,0.0049578,0.038424,0.11548,0.15809,0.21643,0.0025771,0.022394,0.077226,0.11348,0.16674,0.0015741,0.014867,0.054997,0.084266,0.12911
6,0.12722,0.30695,0.3974,0.41031,0.42361,0.25412,0.6119,0.7701,0.78503,0.80012,0.24515,0.64594,0.80407,0.81481,0.8256,0.22275,0.63566,0.79324,0.81734,0.84214,0.12886,0.43439,0.63604,0.68409,0.73577,0.078992,0.29776,0.45133,0.49121,0.53461,0.049413,0.21229,0.3588,0.40322,0.45315,0.010971,0.068673,0.16818,0.21445,0.27347,0.0045094,0.035324,0.10731,0.14769,0.20327,0.0023869,0.020905,0.072665,0.1072,0.15814,0.0014653,0.013938,0.051935,0.079861,0.1228
7,0.11417,0.28162,0.37125,0.38651,0.40235,0.23047,0.56703,0.72345,0.74152,0.75986,0.226,0.6046,0.76042,0.77385,0.78739,0.20194,0.5852,0.74048,0.76806,0.79661,0.11675,0.3989,0.59197,0.64098,0.69406,0.070323,0.26952,0.41537,0.45584,0.50025,0.044046,0.19206,0.32944,0.37298,0.42227,0.0099378,0.062948,0.156,0.20012,0.2567,0.0040933,0.032417,0.099562,0.13778,0.19067,0.0022025,0.019451,0.068172,0.10099,0.14959,0.0013582,0.013018,0.048877,0.075446,0.11646
8,0.10247,0.25833,0.34679,0.36408,0.38216,0.20868,0.52455,0.67875,0.69968,0.721,0.20776,0.56435,0.7175,0.73346,0.7496,0.18303,0.53859,0.69108,0.72162,0.75345,0.10579,0.36634,0.551,0.60064,0.65475,0.062838,0.24474,0.38329,0.42403,0.46909,0.039394,0.17426,0.30323,0.34578,0.3943,0.0090077,0.057735,0.14478,0.18683,0.24108,0.0037171,0.02976,0.092402,0.12857,0.17889,0.0020292,0.018072,0.063877,0.095024,0.14136,0.0012561,0.012135,0.045919,0.071158,0.11027
9,0.092124,0.23725,0.32426,0.34326,0.36328,0.18898,0.48512,0.63674,0.66018,0.68417,0.19076,0.52607,0.67627,0.69453,0.71305,0.16613,0.49625,0.64558,0.67858,0.71319,0.096033,0.33695,0.51352,0.56349,0.61831,0.056422,0.22315,0.35491,0.39566,0.44109,0.035392,0.15873,0.28005,0.32155,0.36921,0.0081827,0.053056,0.1346,0.17469,0.22672,0.0033821,0.027368,0.085886,0.12014,0.16806,0.0018696,0.016792,0.059853,0.089413,0.13357,0.001161,0.011305,0.043116,0.067079,0.10436
10,0.08306,0.21835,0.30371,0.32412,0.34579,0.17139,0.44899,0.59773,0.62336,0.64968,0.17517,0.49027,0.63728,0.65758,0.67825,0.15116,0.45816,0.6041,0.63909,0.67602,0.087409,0.31065,0.47954,0.52958,0.58484,0.050929,0.2044,0.32987,0.37045,0.41602,0.031957,0.14522,0.2596,0.30004,0.34678,0.0074562,0.048889,0.12542,0.16369,0.21364,0.0030861,0.025232,0.080006,0.1125,0.15818,0.0017243,0.015616,0.056129,0.0842,0.12631,0.0010735,0.010535,0.040499,0.063255,0.098798
20,0.035913,0.11077,0.17783,0.20295,0.23137,0.075426,0.23106,0.34777,0.38212,0.41901,0.083095,0.26176,0.37554,0.40479,0.43576,0.070218,0.23889,0.35149,0.39212,0.43727,0.040977,0.16145,0.27632,0.3213,0.37361,0.023415,0.10501,0.18936,0.22479,0.26685,0.014669,0.073688,0.14561,0.17694,0.21502,0.003558,0.0255,0.071503,0.097566,0.13313,0.0014828,0.01317,0.04536,0.066474,0.097417,0.00087124,0.0084652,0.032642,0.050719,0.078806,0.00054539,0.0057286,0.023569,0.038085,0.061539
30,0.020301,0.069402,0.12287,0.14693,0.17545,0.042409,0.14326,0.23524,0.26879,0.3062,0.048427,0.16484,0.25402,0.28304,0.3148,0.041653,0.15297,0.24253,0.28065,0.32457,0.024551,0.10372,0.19034,0.22918,0.27595,0.014177,0.068301,0.13232,0.16281,0.20033,0.0088544,0.047464,0.10009,0.12564,0.15772,0.0021676,0.016489,0.049074,0.068987,0.096979,0.00090557,0.0085032,0.030964,0.046659,0.070308,0.00053935,0.0055057,0.022305,0.035523,0.056576,0.00033563,0.0037012,0.015988,0.026471,0.043827
40,0.013314,0.049003,0.093229,0.11545,0.14271,0.027585,0.099777,0.17475,0.20575,0.24138,0.032232,0.11598,0.18854,0.21549,0.24576,0.028311,0.10992,0.18416,0.21897,0.26019,0.016827,0.074842,0.14459,0.17863,0.22069,0.0098399,0.049945,0.10194,0.12875,0.1626,0.0061294,0.034449,0.076167,0.097903,0.12584,0.0015055,0.011965,0.037207,0.053464,0.076822,0.00062981,0.0061613,0.023375,0.035953,0.055297,0.00037707,0.0039936,0.016787,0.027232,0.044178,0.00023304,0.0026657,0.011944,0.02014,0.033962
50,0.0095441,0.037195,0.074879,0.095326,0.12112,0.019616,0.074745,0.13769,0.16606,0.19948,0.023315,0.087572,0.14848,0.17319,0.20155,0.020877,0.08467,0.14813,0.17995,0.21846,0.012495,0.057873,0.11643,0.14679,0.18506,0.0073913,0.039082,0.083099,0.10712,0.13808,0.004594,0.026796,0.061486,0.080513,0.10543,0.0011301,0.0092967,0.029923,0.043745,0.063951,0.00047317,0.0047809,0.018733,0.029281,0.045769,0.000284,0.003097,0.013403,0.022063,0.036319,0.00017443,0.002054,0.0094747,0.01621,0.027735
60,0.007254,0.029619,0.062454,0.081343,0.10573,0.0148,0.058808,0.11291,0.1389,0.17019,0.017832,0.069355,0.12173,0.14441,0.1709,0.016243,0.068269,0.12377,0.15304,0.1891,0.0097783,0.046828,0.097408,0.12487,0.16008,0.0058435,0.031953,0.070259,0.092098,0.12073,0.0036252,0.0218,0.05157,0.068565,0.091161,0.00089243,0.0075531,0.025011,0.037087,0.054992,0.00037392,0.0038798,0.015612,0.024729,0.03917,0.00022474,0.0025106,0.01113,0.018544,0.030895,0.00013727,0.0016558,0.0078235,0.013547,0.023458
70,0.0057454,0.024398,0.053504,0.071051,0.094158,0.011646,0.04792,0.095267,0.11921,0.14854,0.014191,0.056837,0.10273,0.12363,0.14842,0.013123,0.05685,0.10623,0.13334,0.16725,0.0079404,0.03912,0.083714,0.10885,0.14153,0.0047878,0.026936,0.060939,0.081026,0.10773,0.0029655,0.0183,0.044424,0.059832,0.080585,0.00073034,0.006332,0.021479,0.032236,0.048378,0.00030617,0.0032493,0.013373,0.021423,0.03432,0.00018417,0.0021,0.0095031,0.015996,0.026924,0.00011195,0.0013782,0.0066466,0.011627,0.020341
80,0.0046916,0.02061,0.04676,0.06315,0.085108,0.0094539,0.040085,0.082127,0.10429,0.13188,0.011633,0.047784,0.08858,0.10795,0.13122,0.010904,0.048487,0.093009,0.11828,0.15031,0.0066267,0.033462,0.073391,0.096609,0.12717,0.0040276,0.023226,0.053858,0.072501,0.097598,0.0024911,0.015721,0.03903,0.05316,0.072407,0.00061364,0.0054328,0.018819,0.02854,0.043283,0.00025736,0.0027854,0.011691,0.018913,0.030596,0.0001549,0.001798,0.0082827,0.014066,0.023889,9.3747e-05,0.0011749,0.0057677,0.01018,0.017968
90,0.0037126,0.016809,0.039313,0.053905,0.073767,0.0073094,0.031836,0.06704,0.086305,0.11065,0.0091897,0.038607,0.073226,0.090261,0.11099,0.0088138,0.040114,0.078763,0.10134,0.13029,0.0054974,0.02837,0.063593,0.084627,0.11262,0.0034023,0.020053,0.047526,0.064679,0.088023,0.0021228,0.013665,0.034605,0.047603,0.065483,0.00052615,0.0047452,0.016744,0.025629,0.039229,0.00022075,0.002431,0.010381,0.016941,0.027644,0.00013292,0.0015674,0.0073349,0.012555,0.021491,8.0131e-05,0.0010202,0.0050876,0.0090508,0.016101
100,0.0029932,0.01392,0.033453,0.046497,0.064506,0.0057601,0.025691,0.055436,0.072241,0.093778,0.0073924,0.031685,0.061335,0.07638,0.094901,0.0072471,0.033675,0.067512,0.087774,0.11404,0.0046372,0.024402,0.055775,0.07495,0.10072,0.0029205,0.017552,0.04242,0.058297,0.080116,0.0018384,0.012046,0.031051,0.043095,0.05981,0.00045844,0.0042035,0.01508,0.023275,0.035922,0.00019241,0.0021519,0.0093336,0.015349,0.025242,0.00011588,0.0013859,0.006578,0.01134,0.019548,6.9615e-05,0.0008989,0.0045465,0.0081454,0.014593
