5,0.62924,1.0085,1.6934,2.0607,2.5827,0.96235,1.5881,2.6194,3.0426,3.6132,1.3318,2.4143,4.0914,4.6119,5.2478,1.0671,2.0283,3.4039,3.6909,3.9943,0.56727,1.2716,2.3843,2.627,2.8621,0.31448,0.75581,1.4816,1.6245,1.7575,0.1968,0.49789,1.0288,1.1415,1.2541,0.039056,0.13425,0.35703,0.42316,0.49429,0.015235,0.070455,0.25025,0.3331,0.43867,0.006294,0.036332,0.15763,0.22585,0.31973,0.003562,0.024546,0.12654,0.19463,0.29633
6,0.55691,0.90587,1.5436,1.8924,2.3894,0.85536,1.4347,2.4038,2.8122,3.3635,1.1862,2.1817,3.7474,4.2472,4.8591,0.95346,1.8391,3.1289,3.4102,3.7095,0.50767,1.1553,2.1965,2.4324,2.6638,0.28357,0.69211,1.376,1.5164,1.649,0.17767,0.4565,0.95668,1.0667,1.1777,0.035433,0.12373,0.33378,0.39744,0.4664,0.01379,0.064763,0.23318,0.31167,0.41214,0.0057502,0.033736,0.14848,0.21365,0.30375,0.0032611,0.022844,0.11947,0.18452,0.28212
7,0.49648,0.81886,1.4148,1.7466,2.2206,0.76553,1.3038,2.217,2.6111,3.1439,1.0639,1.9832,3.4501,3.9302,4.5194,0.85758,1.6773,2.8902,3.1653,3.4599,0.45734,1.0556,2.0333,2.2626,2.4896,0.25726,0.63707,1.2835,1.4212,1.5529,0.16137,0.42068,0.89336,1.0008,1.11,0.032331,0.11459,0.31325,0.37463,0.44156,0.012555,0.059824,0.21818,0.29274,0.38861,0.0052806,0.031456,0.14032,0.20272,0.28937,0.0030005,0.021345,0.11315,0.17544,0.26929
8,0.44546,0.74437,1.3031,1.6191,2.0721,0.68932,1.191,2.0537,2.434,2.9493,0.95989,1.8124,3.1908,3.6524,4.2203,0.7759,1.5375,2.6815,2.9502,3.2394,0.41442,0.96938,1.8903,2.113,2.3356,0.23465,0.58909,1.2018,1.3368,1.4672,0.14734,0.38942,0.83734,0.94212,1.0496,0.029649,0.10657,0.29501,0.35426,0.41927,0.011491,0.055504,0.20488,0.2759,0.3676,0.0048716,0.02944,0.133,0.19287,0.27636,0.002773,0.020015,0.10746,0.16724,0.25765
9,0.40197,0.68006,1.2053,1.507,1.9404,0.62409,1.093,1.9098,2.2771,2.7758,0.87078,1.664,2.963,3.4072,3.9549,0.7057,1.4157,2.4976,2.7597,3.0433,0.37749,0.89422,1.7641,1.9804,2.1985,0.21506,0.54694,1.1291,1.2613,1.3902,0.13517,0.36192,0.78746,0.88967,0.99525,0.027313,0.099481,0.27868,0.33596,0.39916,0.010565,0.051695,0.19301,0.26082,0.34871,0.0045126,0.027644,0.12639,0.18395,0.26452,0.0025729,0.018827,0.10231,0.15978,0.24702
10,0.3646,0.6241,1.1192,1.4075,1.823,0.5678,1.0074,1.7823,2.1372,2.62,0.79377,1.5343,2.7616,3.1892,3.718,0.64489,1.309,2.3344,2.5899,2.8679,0.34546,0.82822,1.652,1.8621,2.0756,0.19797,0.50968,1.0641,1.1934,1.3208,0.12454,0.33758,0.74276,0.84247,0.94616,0.025263,0.093178,0.26398,0.31941,0.38091,0.0097542,0.048317,0.18236,0.24724,0.33163,0.0041955,0.026035,0.1204,0.17582,0.25369,0.0023957,0.017761,0.097624,0.15296,0.23726
20,0.16762,0.3148,0.61936,0.8159,1.1069,0.2666,0.52379,1.0231,1.283,1.645,0.37941,0.80274,1.5729,1.8796,2.2673,0.3144,0.70009,1.3601,1.5586,1.7826,0.17066,0.44981,0.9789,1.1394,1.3114,0.10223,0.29,0.66163,0.76618,0.87549,0.064733,0.19339,0.46485,0.5439,0.63011,0.013543,0.055169,0.17086,0.21286,0.26135,0.0051554,0.028134,0.11567,0.16095,0.22155,0.0023334,0.016033,0.081119,0.12169,0.18037,0.001346,0.011062,0.066556,0.10705,0.17045
30,0.09582,0.1922,0.40386,0.5498,0.77086,0.15403,0.32534,0.68167,0.88249,1.168,0.22277,0.50255,1.0458,1.2804,1.5824,0.18726,0.44531,0.91934,1.078,1.2615,0.10284,0.28991,0.67117,0.79922,0.94109,0.063428,0.19275,0.46833,0.55478,0.64847,0.040315,0.12904,0.33027,0.39504,0.46785,0.0086215,0.037684,0.12432,0.15812,0.19821,0.0032499,0.018997,0.082997,0.11762,0.16492,0.0015162,0.0112,0.060397,0.092348,0.13952,0.00087897,0.0077713,0.049854,0.081688,0.13251
40,0.061723,0.13029,0.2881,0.40235,0.57871,0.099702,0.22275,0.49284,0.65397,0.88716,0.14641,0.34713,0.75693,0.94431,1.1892,0.12448,0.31148,0.67407,0.80456,0.95844,0.069106,0.20524,0.49848,0.60417,0.7241,0.043517,0.13949,0.3559,0.42908,0.51044,0.027722,0.093608,0.25154,0.30606,0.36872,0.0060301,0.027838,0.096455,0.12466,0.1588,0.0022563,0.013912,0.063711,0.091586,0.13026,0.0010729,0.0083829,0.047498,0.073708,0.11302,0.00062326,0.0058319,0.03932,0.065363,0.10756
50,0.042878,0.094362,0.21755,0.31022,0.45559,0.069346,0.1622,0.3752,0.50801,0.70319,0.10333,0.25516,0.57804,0.7323,0.93649,0.088687,0.23136,0.52034,0.63017,0.76169,0.049748,0.15418,0.38943,0.47886,0.58227,0.031818,0.10654,0.28289,0.34599,0.41756,0.020295,0.071592,0.20019,0.247,0.30176,0.0044764,0.021609,0.077933,0.10206,0.13171,0.0016652,0.010724,0.05104,0.074231,0.10681,0.00080134,0.0065545,0.03867,0.060738,0.094262,0.00046557,0.004563,0.032041,0.053893,0.089737
