lon,lat,Vs30-Wills,Z2.5,Z1,ln-Amp760
-119.0424,34.2213,293.5,3.2,0.6,1.05910
-118.9949,34.1995,518.9,3.2,0.3,0.54839
-118.9474,34.1777,386.6,0.3,0.3,0.65784
-118.9000,34.1559,351.9,0.3,0.3,0.70840
-118.8525,34.1341,351.9,0.3,0.3,0.70840
-118.8051,34.1123,518.9,0.3,0.1,0.32139
-118.7577,34.0904,468.4,0.0,0.0,0.18440
-118.7103,34.0685,468.4,0.0,0.0,0.18440
-118.6630,34.0467,468.4,0.0,0.0,0.18440
-118.4266,33.9369,386.6,3.4,0.8,1.16859
-118.3794,33.9149,386.6,3.8,0.8,1.11184
-118.3322,33.8929,386.6,3.9,0.6,0.94159
-118.2851,33.8708,386.6,4.0,0.6,0.94159
-118.2379,33.8488,351.9,4.0,0.6,0.99215
-118.1908,33.8267,386.6,4.3,0.7,0.99834
-118.1437,33.8046,386.6,3.0,0.7,0.99834
-118.0967,33.7825,228.2,3.2,0.7,1.38557
-118.0496,33.7603,228.2,3.5,0.7,1.38557
-118.0026,33.7382,228.2,4.2,0.7,1.38557
-117.9556,33.7160,228.2,4.5,0.6,1.27207
-117.9087,33.6938,293.5,4.2,0.5,0.94560
-117.8617,33.6716,386.6,2.9,0.3,0.65784
-117.8148,33.6494,468.4,2.1,0.0,0.18440
-117.7679,33.6271,468.4,2.0,0.0,0.18440
-117.7211,33.6048,385.1,2.1,0.0,0.26248
-117.6742,33.5826,385.1,2.0,0.0,0.26248
-117.6274,33.5603,385.1,1.6,0.0,0.26248
-117.5806,33.5379,468.4,1.2,0.0,0.18440
-117.5338,33.5156,502.5,0.0,0.0,0.16162
-117.4871,33.4932,502.5,0.0,0.0,0.16162
-117.4403,33.4709,518.9,0.0,0.0,0.15114
-117.3936,33.4485,710.1,0.0,0.0,0.00171
-119.2066,34.3476,385.1,4.8,0.3,0.65973
-119.1590,34.3259,385.1,6.3,0.7,1.00023
-119.1114,34.3042,293.5,6.3,0.3,0.83210
-119.0638,34.2825,386.6,5.2,0.3,0.65784
-119.0162,34.2607,444.0,2.5,0.3,0.60004
-118.9687,34.2390,386.6,3.1,0.3,0.65784
-118.9212,34.2172,518.9,2.6,0.3,0.54839
-118.8737,34.1954,386.6,0.3,0.3,0.65784
-118.8263,34.1736,385.1,0.3,0.3,0.65973
-118.7788,34.1517,518.9,2.2,0.3,0.54839
-118.7314,34.1298,385.1,1.9,0.1,0.43273
-118.6840,34.1080,518.9,1.0,0.1,0.26464
-118.6367,34.0861,468.4,0.3,0.3,0.58165
-118.5893,34.0641,502.5,0.0,0.0,0.16162
-118.5420,34.0422,386.6,3.0,0.3,0.65784
-118.4947,34.0202,386.6,3.0,0.7,0.99834
-118.4475,33.9983,293.5,4.5,0.6,1.11585
-118.4002,33.9763,386.6,4.7,0.6,0.94159
-118.3530,33.9542,386.6,4.2,0.6,0.94159
-118.3058,33.9322,386.6,3.4,0.6,0.94159
-118.2586,33.9101,386.6,3.6,0.7,0.99834
-118.2115,33.8881,228.2,4.2,0.8,1.49907
-118.1643,33.8660,228.2,4.5,0.8,1.55582
-118.1172,33.8439,228.2,4.6,0.8,1.55582
-118.0702,33.8217,228.2,4.5,0.8,1.55582
-118.0231,33.7996,228.2,4.8,0.8,1.55582
-117.9761,33.7774,228.2,4.8,0.7,1.44232
-117.9291,33.7552,228.2,4.9,0.6,1.32882
-117.8821,33.7330,293.5,4.7,0.5,0.94560
-117.8351,33.7108,228.2,2.0,0.3,1.04507
-117.7882,33.6886,293.5,1.8,0.3,0.83210
-117.7413,33.6663,293.5,1.5,0.0,0.43485
-117.6944,33.6440,386.6,1.5,0.0,0.26059
-117.6476,33.6218,385.1,1.4,0.0,0.26248
-117.6007,33.5994,468.4,1.1,0.0,0.18440
-117.5539,33.5771,502.5,0.0,0.0,0.16162
-117.5071,33.5548,502.5,0.0,0.0,0.16162
-117.4604,33.5324,518.9,0.0,0.0,0.15114
-117.4136,33.5100,710.1,0.0,0.0,0.00171
-117.3669,33.4876,351.9,0.0,0.0,0.31115
-119.1804,34.3871,385.1,3.1,0.3,0.65973
-119.1328,34.3654,385.1,5.2,0.3,0.65973
-119.0852,34.3437,293.5,6.6,1.0,1.47749
-119.0376,34.3220,385.1,1.2,0.3,0.65973
-118.9900,34.3002,444.0,2.5,0.3,0.60004
-118.9425,34.2784,444.0,3.1,0.3,0.60004
-118.8950,34.2566,444.0,3.1,0.3,0.60004
-118.8475,34.2348,468.4,1.0,0.3,0.58165
-118.8000,34.2130,502.5,0.3,0.3,0.55887
-118.7525,34.1911,502.5,2.9,0.1,0.21837
-118.7051,34.1693,385.1,2.6,0.1,0.37598
-118.6577,34.1474,385.1,2.3,0.1,0.37598
-118.6103,34.1254,385.1,1.8,0.1,0.37598
-118.5630,34.1035,468.4,0.3,0.1,0.35465
-118.5156,34.0816,710.1,0.3,0.1,0.17196
-118.4683,34.0596,386.6,0.5,0.3,0.65784
-118.4210,34.0376,293.5,4.5,0.7,1.17260
-118.3738,34.0156,444.0,4.0,0.6,0.88379
-118.3265,33.9936,386.6,4.5,0.7,1.05509
-118.2793,33.9715,293.5,5.3,0.8,1.39960
-118.2321,33.9495,228.2,5.7,0.9,1.66932
-118.1850,33.9274,228.2,5.6,0.9,1.66932
-118.1378,33.9053,228.2,5.3,0.9,1.66932
-118.0907,33.8832,228.2,4.7,0.8,1.55582
-118.0436,33.8610,228.2,4.5,0.8,1.55582
-117.9966,33.8389,228.2,3.7,0.7,1.44232
-117.9495,33.8167,228.2,4.2,0.7,1.38557
-117.9025,33.7945,228.2,3.0,0.5,1.21532
-117.8555,33.7723,293.5,3.5,0.3,0.83210
-117.8085,33.7501,293.5,1.9,0.3,0.83210
-117.7616,33.7278,351.9,1.4,0.0,0.31115
-117.7147,33.7055,502.5,1.1,0.0,0.16162
-117.6678,33.6832,468.4,1.1,0.0,0.18440
-117.6209,33.6609,468.4,1.1,0.0,0.18440
-117.5740,33.6386,468.4,0.3,0.0,0.18440
-117.5272,33.6163,502.5,0.0,0.0,0.16162
-117.4804,33.5939,710.1,0.0,0.0,0.00171
-117.4336,33.5716,710.1,0.0,0.0,0.00171
-117.3869,33.5492,710.1,0.0,0.0,0.00171
-117.3401,33.5267,710.1,0.0,0.0,0.00171
-119.1543,34.4266,385.1,1.7,0.4,0.71648
-119.1066,34.4049,351.9,4.0,0.3,0.70840
-119.0590,34.3832,385.1,6.0,0.5,0.77323
-119.0114,34.3614,293.5,6.3,1.1,1.47749
-118.9638,34.3397,385.1,1.6,0.3,0.65973
-118.9162,34.3179,386.6,2.9,0.3,0.65784
-118.8687,34.2961,444.0,3.2,0.3,0.60004
-118.8212,34.2743,518.9,2.0,0.3,0.54839
-118.7737,34.2524,351.9,0.9,0.3,0.70840
-118.7262,34.2305,468.4,0.3,0.3,0.58165
-118.6788,34.2087,502.5,0.3,0.1,0.21837
-118.6313,34.1868,293.5,2.6,0.2,0.71860
-118.5839,34.1648,385.1,2.1,0.2,0.54623
-118.5366,34.1429,502.5,0.5,0.1,0.27512
-118.4892,34.1209,710.1,0.3,0.3,0.39896
-118.4419,34.0990,710.1,0.3,0.1,0.11521
-118.3946,34.0770,351.9,5.0,0.3,0.70840
-118.3473,34.0549,386.6,2.4,0.3,0.65784
-118.3001,34.0329,293.5,2.5,0.4,0.88885
-118.2528,34.0108,293.5,4.4,0.6,1.11585
-118.2056,33.9888,293.5,5.0,0.8,1.28610
-118.1585,33.9667,228.2,5.0,0.8,1.55582
-118.1113,33.9446,228.2,4.2,0.8,1.49907
-118.0642,33.9224,386.6,3.6,0.7,1.05509
-118.0171,33.9003,386.6,3.1,0.7,0.99834
-117.9700,33.8781,351.9,3.2,0.7,1.04890
-117.9229,33.8559,228.2,4.5,0.7,1.38557
-117.8759,33.8337,293.5,3.5,0.5,1.00235
-117.8289,33.8115,293.5,2.1,0.3,0.83210
-117.7819,33.7893,518.9,1.8,0.0,0.15114
-117.7349,33.7670,385.1,1.4,0.0,0.26248
-117.6880,33.7447,468.4,1.1,0.0,0.18440
-117.6411,33.7224,502.5,0.8,0.0,0.16162
-117.5942,33.7001,710.1,0.8,0.0,0.00171
-117.5473,33.6778,518.9,0.0,0.0,0.15114
-117.5005,33.6555,710.1,0.0,0.0,0.00171
-117.4537,33.6331,710.1,0.0,0.0,0.00171
-117.4069,33.6107,710.1,0.0,0.0,0.00171
-117.3601,33.5883,710.1,0.0,0.0,0.00171
-117.3134,33.5659,710.1,0.0,0.0,0.00171
-119.1281,34.4661,385.1,1.8,0.1,0.43273
-119.0804,34.4444,385.1,4.0,0.1,0.43273
-119.0327,34.4227,386.6,4.5,0.1,0.43084
-118.9851,34.4009,351.9,6.2,0.9,1.29410
-118.9375,34.3791,293.5,6.0,1.1,1.47749
-118.8899,34.3573,385.1,1.2,0.3,0.65973
-118.8424,34.3355,385.1,2.1,0.3,0.65973
-118.7948,34.3137,468.4,2.0,0.3,0.58165
-118.7473,34.2918,468.4,1.4,0.3,0.58165
-118.6999,34.2700,385.1,0.9,0.3,0.65973
-118.6524,34.2481,502.5,0.3,0.1,0.21837
-118.6050,34.2262,293.5,2.5,0.1,0.54835
-118.5575,34.2042,293.5,2.5,0.2,0.71860
-118.5102,34.1823,293.5,1.9,0.2,0.71860
-118.4628,34.1603,293.5,1.6,0.4,0.88885
-118.4155,34.1383,385.1,1.0,0.2,0.54623
-118.3681,34.1163,710.1,5.1,0.3,0.39896
-118.3209,34.0943,293.5,2.0,0.3,0.83210
-118.2736,34.0722,385.1,2.0,0.3,0.65973
-118.2263,34.0502,351.9,2.2,0.3,0.70840
-118.1791,34.0281,386.6,2.5,0.5,0.77134
-118.1319,34.0060,386.6,2.9,0.6,0.88484
-118.0848,33.9839,228.2,3.7,0.6,1.32882
-118.0376,33.9617,351.9,3.6,0.6,0.99215
-117.9905,33.9396,386.6,3.6,0.6,0.94159
-117.9434,33.9174,351.9,3.6,0.6,0.99215
-117.8963,33.8952,385.1,4.0,0.6,0.88673
-117.8493,33.8730,386.6,2.5,0.5,0.77134
-117.8022,33.8507,351.9,2.2,0.3,0.70840
-117.7552,33.8285,385.1,1.8,0.0,0.26248
-117.7083,33.8062,468.4,1.4,0.0,0.18440
-117.6613,33.7839,502.5,1.1,0.0,0.16162
-117.6144,33.7616,351.9,1.1,0.0,0.31115
-117.5675,33.7393,710.1,1.1,0.0,0.00171
-117.5206,33.7170,710.1,0.7,0.0,0.00171
-117.4737,33.6946,710.1,0.0,0.0,0.00171
-117.4269,33.6722,710.1,0.0,0.0,0.00171
-117.3801,33.6498,386.6,0.0,0.0,0.26059
-117.3333,33.6274,386.6,0.0,0.0,0.26059
-117.2865,33.6050,293.5,0.0,0.0,0.43485
-119.1018,34.5056,385.1,0.3,0.1,0.43273
-119.0542,34.4839,385.1,0.3,0.1,0.43273
-119.0065,34.4622,468.4,4.0,0.1,0.29790
-118.9588,34.4404,468.4,6.0,0.1,0.29790
-118.9112,34.4186,385.1,6.1,0.6,0.88673
-118.8636,34.3968,351.9,6.1,1.2,1.29410
-118.8161,34.3750,468.4,1.1,0.3,0.58165
-118.7685,34.3531,351.9,1.6,0.3,0.70840
-118.7210,34.3313,444.0,1.7,0.3,0.60004
-118.6735,34.3094,385.1,0.8,0.3,0.65973
-118.6260,34.2875,502.5,0.3,0.1,0.21837
-118.5786,34.2655,386.6,2.8,0.1,0.31734
-118.5311,34.2436,386.6,3.0,0.3,0.65784
-118.4837,34.2216,293.5,3.1,0.3,0.83210
-118.4363,34.1997,293.5,2.5,0.3,0.83210
-118.3890,34.1777,293.5,1.2,0.3,0.83210
-118.3417,34.1556,293.5,1.0,0.5,0.94560
-118.2944,34.1336,518.9,0.3,0.1,0.26464
-118.2471,34.1116,386.6,1.2,0.3,0.60109
-118.1998,34.0895,385.1,2.0,0.3,0.65973
-118.1526,34.0674,386.6,2.0,0.3,0.65784
-118.1054,34.0453,468.4,3.4,0.5,0.75190
-118.0582,34.0231,293.5,4.7,0.5,1.00235
-118.0110,34.0010,468.4,4.8,0.3,0.58165
-117.9639,33.9788,468.4,4.2,0.3,0.58165
-117.9168,33.9566,385.1,2.3,0.3,0.65973
-117.8697,33.9344,385.1,2.4,0.3,0.65973
-117.8226,33.9122,385.1,2.4,0.3,0.65973
-117.7756,33.8900,351.9,2.2,0.3,0.70840
-117.7286,33.8677,386.6,2.3,0.3,0.65784
-117.6816,33.8454,468.4,1.4,0.0,0.18440
-117.6346,33.8231,710.1,1.2,0.0,0.00171
-117.5877,33.8008,710.1,1.2,0.0,0.00171
-117.5407,33.7785,710.1,1.1,0.0,0.00171
-117.4938,33.7561,386.6,0.7,0.0,0.26059
-117.4470,33.7338,386.6,0.0,0.0,0.26059
-117.4001,33.7114,351.9,0.0,0.0,0.31115
-117.3533,33.6890,351.9,0.0,0.0,0.31115
-117.3065,33.6665,351.9,0.0,0.0,0.31115
-117.2597,33.6441,710.1,0.0,0.0,0.00171
-119.0756,34.5451,385.1,3.0,0.3,0.65973
-119.0279,34.5234,468.4,0.3,0.1,0.35465
-118.9802,34.5016,468.4,5.3,0.1,0.29790
-118.9325,34.4798,468.4,6.2,0.1,0.24115
-118.8849,34.4580,468.4,5.8,0.1,0.35465
-118.8373,34.4362,385.1,6.2,0.2,0.48948
-118.7897,34.4144,293.5,6.0,1.1,1.47749
-118.7421,34.3925,385.1,4.5,0.3,0.65973
-118.6946,34.3707,468.4,3.7,0.3,0.58165
-118.6471,34.3488,468.4,1.7,0.3,0.58165
-118.5996,34.3269,385.1,0.6,0.3,0.65973
-118.5521,34.3049,385.1,2.5,0.1,0.37598
-118.5047,34.2830,351.9,3.5,0.3,0.70840
-118.4573,34.2610,386.6,2.5,0.3,0.65784
-118.4099,34.2390,293.5,2.5,0.3,0.83210
-118.3625,34.2170,293.5,1.3,0.3,0.83210
-118.3152,34.1950,351.9,0.8,0.7,1.04890
-118.2678,34.1729,351.9,0.5,0.1,0.48140
-118.2205,34.1509,351.9,0.3,0.3,0.70840
-118.1733,34.1288,386.6,1.2,0.3,0.65784
-118.1260,34.1067,386.6,1.8,0.1,0.43084
-118.0788,34.0846,293.5,2.1,0.3,0.77535
-118.0316,34.0624,228.2,4.0,0.4,1.10182
-117.9844,34.0403,228.2,4.2,0.3,1.04507
-117.9372,34.0181,468.4,2.5,0.2,0.41140
-117.8901,33.9959,293.5,1.9,0.2,0.71860
-117.8430,33.9737,351.9,1.6,0.2,0.53815
-117.7959,33.9514,468.4,1.6,0.2,0.41140
-117.7489,33.9292,468.4,2.4,0.2,0.41140
-117.7018,33.9069,468.4,2.0,0.2,0.41140
-117.6548,33.8846,351.9,1.6,0.3,0.70840
-117.6079,33.8623,386.6,0.8,0.0,0.26059
-117.5609,33.8400,351.9,2.6,0.6,0.93540
-117.5140,33.8177,386.6,0.8,0.3,0.65784
-117.4671,33.7953,385.1,0.0,0.0,0.26248
-117.4202,33.7729,518.9,0.0,0.0,0.15114
-117.3733,33.7505,518.9,0.0,0.0,0.15114
-117.3265,33.7281,710.1,0.0,0.0,0.00171
-117.2797,33.7057,710.1,0.0,0.0,0.00171
-117.2329,33.6832,386.6,0.0,0.0,0.26059
-119.0493,34.5846,468.4,3.0,0.1,0.35465
-119.0016,34.5629,385.1,0.3,0.2,0.48948
-118.9539,34.5411,468.4,5.7,0.1,0.29790
-118.9062,34.5193,468.4,0.3,0.1,0.24115
-118.8586,34.4975,385.1,1.2,0.1,0.37598
-118.8109,34.4757,385.1,2.0,0.1,0.43273
-118.7633,34.4538,385.1,2.1,0.3,0.65973
-118.7158,34.4320,385.1,3.3,0.3,0.65973
-118.6682,34.4101,351.9,4.4,0.3,0.70840
-118.6207,34.3882,385.1,3.6,0.3,0.65973
-118.5732,34.3662,385.1,2.9,0.3,0.65973
-118.5257,34.3443,468.4,1.0,0.3,0.58165
-118.4782,34.3223,351.9,4.5,0.1,0.48140
-118.4308,34.3004,386.6,2.8,0.3,0.65784
-118.3834,34.2784,351.9,1.4,0.1,0.42465
-118.3360,34.2563,468.4,0.3,0.1,0.35465
-118.2886,34.2343,710.1,0.3,0.1,0.05846
-118.2413,34.2123,351.9,0.3,0.1,0.42465
-118.1940,34.1902,710.1,0.3,0.1,0.05846
-118.1467,34.1681,386.6,0.8,0.1,0.37409
-118.0994,34.1460,386.6,1.5,0.2,0.48759
-118.0522,34.1238,293.5,1.9,0.2,0.71860
-118.0050,34.1017,351.9,3.0,0.3,0.70840
-117.9578,34.0795,293.5,3.0,0.4,0.88885
-117.9106,34.0573,386.6,2.4,0.2,0.54434
-117.8634,34.0351,468.4,1.6,0.1,0.35465
-117.8163,34.0129,468.4,1.1,0.1,0.35465
-117.7692,33.9907,385.1,1.1,0.2,0.48948
-117.7222,33.9684,385.1,1.8,0.2,0.48948
-117.6751,33.9461,468.4,1.9,0.2,0.41140
-117.6281,33.9238,386.6,3.2,0.2,0.48759
-117.5811,33.9015,444.0,0.3,0.1,0.37304
-117.5341,33.8792,386.6,0.3,0.1,0.43084
-117.4872,33.8568,710.1,0.0,0.0,0.00171
-117.3933,33.8121,710.1,0.0,0.0,0.00171
-117.3465,33.7896,710.1,0.0,0.0,0.00171
-117.2996,33.7672,710.1,0.0,0.0,0.00171
-117.2528,33.7448,710.1,0.0,0.0,0.00171
-117.2060,33.7223,386.6,0.0,0.0,0.26059
-119.0230,34.6241,710.1,0.0,0.0,0.00171
-118.9753,34.6023,710.1,0.3,0.1,0.05846
-118.9276,34.5805,468.4,0.3,0.1,0.24115
-118.8799,34.5587,468.4,0.3,0.1,0.29790
-118.8322,34.5369,468.4,0.5,0.1,0.29790
-118.7846,34.5151,385.1,2.0,0.1,0.43273
-118.7369,34.4932,385.1,2.5,0.3,0.65973
-118.6893,34.4714,385.1,3.8,0.3,0.65973
-118.6418,34.4495,444.0,3.4,0.1,0.37304
-118.5942,34.4276,351.9,4.1,0.5,0.82190
-118.5467,34.4056,293.5,2.1,0.5,1.00235
-118.4992,34.3837,351.9,2.1,0.3,0.70840
-118.4517,34.3617,710.1,5.9,0.1,0.05846
-118.4043,34.3397,710.1,3.4,0.1,0.05846
-118.3568,34.3177,710.1,3.1,0.1,0.17196
-118.3094,34.2957,710.1,3.5,0.1,0.05846
-118.2621,34.2736,710.1,0.3,0.1,0.05846
-118.2147,34.2516,710.1,0.3,0.1,0.05846
-118.1674,34.2295,710.1,0.3,0.1,0.05846
-118.1201,34.2074,710.1,0.8,0.1,0.05846
-118.0728,34.1853,710.1,1.4,0.1,0.05846
-118.0255,34.1631,351.9,1.6,0.1,0.48140
-117.9783,34.1410,351.9,1.8,0.2,0.53815
-117.9311,34.1188,293.5,2.0,0.2,0.66185
-117.8839,34.0966,293.5,1.7,0.2,0.71860
-117.8368,34.0744,385.1,0.8,0.2,0.48948
-117.7896,34.0521,293.5,0.3,0.2,0.66185
-117.7425,34.0299,293.5,0.5,0.2,0.66185
-117.6954,34.0076,293.5,1.1,0.2,0.71860
-117.6484,33.9853,293.5,0.6,0.2,0.66185
-117.6013,33.9630,293.5,0.3,0.2,0.66185
-117.5543,33.9407,386.6,0.3,0.1,0.43084
-117.5073,33.9183,710.1,0.3,0.1,0.17196
-117.4604,33.8960,386.6,0.3,0.3,0.65784
-117.4134,33.8736,710.1,0.0,0.0,0.00171
-117.3665,33.8512,710.1,0.0,0.0,0.00171
-117.3196,33.8288,386.6,0.0,0.0,0.26059
-117.2727,33.8063,710.1,0.0,0.0,0.00171
-117.2259,33.7839,386.6,0.0,0.0,0.26059
-117.1791,33.7614,386.6,0.0,0.0,0.26059
-118.9967,34.6636,710.1,0.0,0.0,0.00171
-118.9490,34.6418,710.1,0.0,0.0,0.00171
-118.9012,34.6200,710.1,0.3,0.1,0.05846
-118.8535,34.5982,468.4,0.3,0.1,0.24115
-118.8058,34.5764,385.1,0.3,0.1,0.31923
-118.7582,34.5545,385.1,0.3,0.1,0.37598
-118.7105,34.5327,385.1,0.3,0.1,0.43273
-118.6629,34.5108,468.4,0.3,0.3,0.58165
-118.6153,34.4889,293.5,1.8,0.3,0.83210
-118.5678,34.4669,444.0,2.0,0.1,0.37304
-118.5202,34.4450,444.0,2.0,0.1,0.37304
-118.4727,34.4230,293.5,2.0,0.3,0.83210
-118.4252,34.4011,468.4,1.6,0.1,0.35465
-118.3777,34.3791,710.1,0.3,0.1,0.05846
-118.3303,34.3570,710.1,0.3,0.1,0.05846
-118.2829,34.3350,710.1,0.3,0.1,0.05846
-118.2355,34.3130,710.1,0.3,0.1,0.05846
-118.1881,34.2909,710.1,0.3,0.1,0.05846
-118.1408,34.2688,710.1,0.0,0.0,0.00171
-118.0934,34.2467,710.1,0.7,0.0,0.00171
-118.0461,34.2245,710.1,1.1,0.0,0.00171
-117.9989,34.2024,710.1,1.3,0.1,0.05846
-117.9516,34.1802,710.1,1.3,0.1,0.05846
-117.9044,34.1580,710.1,2.0,0.1,0.05846
-117.8572,34.1358,351.9,1.3,0.2,0.53815
-117.8100,34.1136,518.9,0.8,0.2,0.43489
-117.7629,34.0913,293.5,0.6,0.2,0.66185
-117.7158,34.0691,293.5,0.8,0.2,0.66185
-117.6687,34.0468,293.5,0.5,0.2,0.66185
-117.6216,34.0245,293.5,0.5,0.2,0.66185
-117.5745,34.0022,293.5,0.3,0.2,0.66185
-117.5275,33.9799,386.6,0.3,0.1,0.43084
-117.4805,33.9575,386.6,0.3,0.1,0.43084
-117.4335,33.9351,386.6,0.3,0.1,0.43084
-117.3866,33.9127,386.6,0.3,0.3,0.65784
-117.3396,33.8903,710.1,0.0,0.0,0.00171
